#Sample ID	Index.AO	all_data	Latitude	Longitude	Depth	Date.Collection	PlotCreated	Type	Dry.weight.g_g.2017	ResinP.ppm.2017	Soil.pH.water.2017	Soil.pH.CaCl2.2017	pH.water	pH.CaCl2	LOI.per	Total.C.per	Total.N.per	Total.P.mg_kg	DOC_mg.C_kg	DON_mg.N_kg	DOC_DON	NH4.mg.N_kg	NO3.mg.N_kg	TDN.mg.N_kg	DIN.mg.N_kg	ResinP.mg_kg	Meh.Al.mg.Al_kg	Meh.Ca.mg.Ca_kg	Meh.Fe.mg.Fe_kg	Meh.K.mg.K_kg	Meh.Mg.mg.Mg_kg	Meh.Mn.mg.Mn_kg	Meh.P.mg.P_kg	Meh.Zn.mg.Zn_kg	Ca_Mg	N.E_TP.mg_kg	N.E.Pi.mg_kg	NE.Po.mg_kg	C.N	C.P	N.P	C.Po	C.N.atomic	C.P.atomic	N.P.atomic	C.Po.atomic	TEB	ECEC	BS	FumRel.C	FumRel.N	FumRel.P	MUP	bisMUP	BG	NAG	SULF	MUP.1	bisMUP.1	MUP.2	bisMUP.2	PME.PDE	PME.PDE.1	MUP.SMBC.corr	bisMUP.SMBcorr	BG.SMB	NAG.SMB	SULF.SMB	BG.NA	BG.AP	NA.AP	MUP.TC	bisMUP.TC	BG.TC	NAG.TC	SULF.TC	SMB.C	SMB.N	SMB.P	SMB.C.N	SMB.C.P	SM.N.P	SMB.C.N.1	SMB.C.P.1	SM.N.P.1	Ox.Al	Ox.Fe	Ox.Mn	Ox.P	Ox.Al.1	Ox.Fe.1	Ox.Mn.1	Ox.P.1	DPS	Date.Soil.Measurements	MAT	MDR	MAXT	MINT	MAP	PSEA	Aridity_Index	NPP_2008_2019
P21_0202	4	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.63	8.81	6.86	6.15	5.8	5.36	25.8	9.88	0.93	484	114.321201	8.27	13.8	1.31	11.71	21.29	13.02	3.961	664.9	7520.1	89.6	96.4	836.4	35.2	7	8.9	5.5	289.2	76.4	212.8	10.6	204.3	19.3	464.4	12.4	526.7	42.6	1197.7	44.7	52.7	85	928.4	147.5	114	46.9	7.1	8.8	11.6	7.4	31.7	3.3	20.2	2.2	6.6	9.4	23	3.5	4.3	5.6	3.6	0.76	0.19	0.25	47.5	7.2	8.9	11.8	7.5	2063	328	285	6.3	7.2	1.2	7.3	18.7	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P21_0204	5	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.6	2.41	6.26	5.33	5.95	4.86	19	4.3	0.43	376	68.01490442	0.05	NA	2.67	0.71	3.43	3.37	1.652	816.4	5167	87.4	28	852	22	5.3	0.4	3.7	283.2	58.2	225	10.1	114.3	11.3	191.2	11.8	294.8	25.1	493.1	32.9	42.5	77	323	57.2	28.4	20.5	3.7	3.2	3.5	4.1	11.5	1.8	1.7	0.3	5.5	6.5	29	5.2	4.4	4.9	5.7	0.9	0.16	0.17	47.6	8.6	7.4	8.2	9.6	718	127	71	5.6	10.1	1.8	6.6	26.1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P21_0303	7	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.56	7.49	6.38	5.38	4.92	4.58	15.2	3.75	0.36	333	58.91564964	4.53	13	1.26	0.25	6.04	1.51	2.376	1051.2	5385.9	55.9	172.1	905.4	10.2	3.7	1.4	3.6	252.1	48.6	203.5	10.4	112.6	10.8	184.4	12.1	290.5	23.9	475.5	34.8	46.8	74	258.1	36.3	20.2	14.6	3.3	2.6	2.4	2.2	9.2	1.4	0.7	0.2	4.4	6.4	25	5.8	4.5	4.2	3.8	1.07	0.18	0.17	38.9	8.8	6.9	6.4	5.8	573	81	51	7.1	11.3	1.6	8.3	29.3	3.5	4.3	3.9	0.88	132.4	159.6	70.3	16.1	4.3	1.9	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P21_0402	9	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.59	4.54	6.34	5.28	5.72	5.62	21.4	4.06	0.35	367	64.07279404	7.74	8.3	1.04	0.34	9.12	1.38	1.691	645.8	4265.4	69.1	66.8	819.2	58.9	3.2	0.7	3.2	197.2	44.3	152.8	11.6	110.7	9.5	265.9	13.6	285.5	21	685.7	28.2	36	78	215.1	34.2	22	12.2	1.9	3.6	3.2	2.9	6.9	0.9	4.5	0.7	6.5	7.8	26	3.9	7.5	6.6	6.1	1.13	0.29	0.26	30	4.6	8.8	7.8	7.2	478	76	55	6.3	8.7	1.4	7.3	22.4	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P21_0404	10	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.55	6.91	6.51	5.52	6.56	5.8	17.9	5.93	0.53	371	69.47294524	2.02	34.3	1.16	0.78	3.96	1.94	3.903	579.2	4238.5	65.8	48.8	555.7	104.2	4.9	0.7	4.6	207.2	46.1	161.1	11.2	160	14.3	368.3	13.1	412.6	31.6	949.9	25.8	33	78	232.4	51.8	31.5	12.7	2.1	3.6	4.4	3.3	6.9	1	9.9	1.4	5.9	7.1	25	4.1	6.9	8.5	6.4	0.82	0.28	0.35	21.4	3.6	6	7.4	5.6	516	115	79	4.5	6.5	1.5	5.2	16.9	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P22_0202	17	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.57	5.84	6.34	5.42	5.63	5.58	11.87598529	2.93	0.28	377.5011145	43.895	5.13025	8.6	1.5655	2.8015	9.49725	4.367	3.002	780.5	1877.9	141.8	168.7	762.4	100.3	4.3	3.1	1.5	153.7	32.2	121.5	10.6	77.5	7.3	240.9	12.4	200	16.1	621.3	16.1	25.9	62	114.9	33.8	10.8	14.2	2.3	4.1	3.1	2.8	9.3	1.1	3.3	0.3	6.3	8.5	56	8.9	16	12	10.9	1.34	0.29	0.21	48.6	7.7	14	10.4	9.5	255	75	27	3.4	9.4	2.8	4	24.4	6.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
P22_0204	18	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.66	6.62	6.24	5.11	6.01	5.53	9.777163586	3.32	0.29	455.4904367	26.72	1.48275	18	0.8975	3.702	6.08225	4.5995	4.835	739.5	2360.2	150.3	69.5	526.6	181.4	3.6	5.4	2.7	217.2	42.4	174.8	11.5	72.9	6.4	190.1	13.4	188.1	14.1	490.2	16.3	26	63	138.1	45.9	22	16.9	2.7	5	3.4	3.7	9.1	1	5.6	0.4	6.2	9.1	55	8.8	16.2	11	12.1	1.47	0.3	0.2	50.7	8.1	15	10.2	11.2	307	102	55	3	5.6	1.9	3.5	14.4	4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
P22_0303	20	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.58	2.84	6.66	5.76	6.16	5.68	11.33505599	3	0.3	465.4147439	34.845	2.40775	14.5	0.716	2.596	5.71975	3.312	3.612	835.4	2406.8	166.3	68.8	604.1	184.2	4.3	7	2.4	232.6	36	196.7	10	64.4	6.4	152.4	11.7	166	14.2	392.9	17.2	28	61	122.6	40.8	14.1	17.4	2.7	4.3	2.5	3.3	9.3	1.2	4.1	0.4	6.3	8	64	10.1	15.6	9.2	12	1.69	0.24	0.15	57.9	9.2	14.2	8.4	10.9	272	91	35	3	7.7	2.6	3.5	19.9	5.7	1.6	3.8	1.39	94.6	57.5	68.5	25.3	3.1	2.4	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
P22_0402	22	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.52	7.9	6.58	5.79	6.37	5.73	15.14084507	5.35	0.48	628.4503259	51.92	3.28875	15.8	1.1285	7.1975	11.61475	8.326	7.592	831	2145.1	153.5	170.2	458.4	190.8	6.3	5.5	2.8	326	52.9	273.2	11.2	85.1	7.6	195.7	13.1	219.3	16.7	504.7	14.9	25.7	58	205	89	49	28.5	3.9	6.7	4.1	6.8	16.7	1.8	9.9	1	7.3	9.3	63	8.6	14.7	9.1	15	1.62	0.24	0.15	53.3	7.3	12.5	7.7	12.8	455	198	123	2.3	3.7	1.6	2.7	9.6	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
P22_0404	23	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.59	3.26	6.35	5.3	6.2	5.27	10.19283747	2.61	0.25	436.2478031	55.42	4.98725	11.1	0.3215	3.3935	8.70225	3.715	3.901	701.6	2719.9	197.5	276	935.5	85.7	5.8	6.7	1.8	169.9	34.8	135.1	10.5	59.9	5.7	193.4	12.2	154.5	12.6	498.8	22	31.2	71	134.2	45.8	20.1	23.9	3.3	4.8	2.7	4.6	11.2	1.4	2.2	0.4	7.3	7.8	80	11	16	9.1	15.4	1.75	0.2	0.11	91.4	12.6	18.2	10.4	17.6	298	102	50	2.9	5.9	2	3.4	15.3	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
